Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.025          -6.7296      -6.7296       0.0000     0.0
0.050           0.0000       0.0000       0.0000     0.0
0.075          -6.7323      -6.7323       0.0000     0.0
0.100           0.0000       0.0000       0.0000     0.0
0.125          -6.7337      -6.7337       0.0000     0.0
0.150           0.0000       0.0000       0.0000     0.0
0.175          -6.7346      -6.7346       0.0000     0.0
0.200           0.0000       0.0000       0.0000     0.0
0.225          -6.7353      -6.7353       0.0000     0.0
0.250           0.0000       0.0000       0.0000     0.0
0.275          -6.7358      -6.7358       0.0000     0.0
0.300           0.0000       0.0000       0.0000     0.0
0.325          -6.7363      -6.7363       0.0000     0.0
0.350           0.0000       0.0000       0.0000     0.0
0.375          -6.7367      -6.7367       0.0000     0.0
0.400           0.0000       0.0000       0.0000     0.0
0.425          -6.7370      -6.7370       0.0000     0.0
0.450           0.0000       0.0000       0.0000     0.0
0.475          -6.7373      -6.7373       0.0000     0.0
0.500           0.0000       0.0000       0.0000     0.0
0.525          -6.7376      -6.7376       0.0000     0.0
0.550           0.0000       0.0000       0.0000     0.0
0.575          -6.7379      -6.7379       0.0000     0.0
0.600           0.0000       0.0000       0.0000     0.0
0.625          -6.7381      -6.7381       0.0000     0.0
0.650           0.0000       0.0000       0.0000     0.0
0.675          -6.7383      -6.7383       0.0000     0.0
0.700           0.0000       0.0000       0.0000     0.0
0.725          -6.7385      -6.7385       0.0000     0.0
0.750           0.0000       0.0000       0.0000     0.0
0.775          -6.7387      -6.7387       0.0000     0.0
0.800           0.0000       0.0000       0.0000     0.0
0.825          -6.7388      -6.7388       0.0000     0.0
0.850           0.0000       0.0000       0.0000     0.0
0.875          -6.7390      -6.7390       0.0000     0.0
0.900           0.0000       0.0000       0.0000     0.0
0.925          -6.7392      -6.7392       0.0000     0.0
0.950           0.0000       0.0000       0.0000     0.0
0.975          -6.7393      -6.7393       0.0000     0.0
1.000           0.0000       0.0000       0.0000     0.0
1.025          -6.7394      -6.7394       0.0000     0.0
1.050           0.0000       0.0000       0.0000     0.0
1.075          -6.7396      -6.7396       0.0000     0.0
1.100           0.0000       0.0000       0.0000     0.0
1.125          -6.7397      -6.7397       0.0000     0.0
1.150           0.0000       0.0000       0.0000     0.0
1.175          -6.7398      -6.7398       0.0000     0.0
1.200           0.0000       0.0000       0.0000     0.0
1.225          -6.7399      -6.7399       0.0000     0.0
1.250           0.0000       0.0000       0.0000     0.0
1.275          -6.7400      -6.7400       0.0000     0.0
1.300           0.0000       0.0000       0.0000     0.0
1.325          -6.7401      -6.7401       0.0000     0.0
1.350           0.0000       0.0000       0.0000     0.0
1.375          -6.7402      -6.7402       0.0000     0.0
1.400           0.0000       0.0000       0.0000     0.0
1.425          -6.7403      -6.7403       0.0000     0.0
1.450           0.0000       0.0000       0.0000     0.0
1.475          -6.7404      -6.7404       0.0000     0.0
1.500           0.0000       0.0000       0.0000     0.0
1.525          -6.7405      -6.7405       0.0000     0.0
1.550           0.0000       0.0000       0.0000     0.0
1.575          -6.7406      -6.7406       0.0000     0.0
1.600           0.0000       0.0000       0.0000     0.0
1.625          -6.7407      -6.7407       0.0000     0.0
1.650           0.0000       0.0000       0.0000     0.0
1.675          -6.7408      -6.7408       0.0000     0.0
1.700           0.0000       0.0000       0.0000     0.0
1.725          -6.7409      -6.7409       0.0000     0.0
1.750           0.0000       0.0000       0.0000     0.0
1.775          -6.7409      -6.7409       0.0000     0.0
1.800           0.0000       0.0000       0.0000     0.0
1.825          -6.7410      -6.7410       0.0000     0.0
1.850           0.0000       0.0000       0.0000     0.0
1.875          -6.7411      -6.7411       0.0000     0.0
1.900           0.0000       0.0000       0.0000     0.0
1.925          -6.7412      -6.7412       0.0000     0.0
1.950           0.0000       0.0000       0.0000     0.0
1.975          -6.7412      -6.7412       0.0000     0.0
2.000           0.0000       0.0000       0.0000     0.0
